procedure,n,mae_mg_week,rmse_mg_week,r2,pw20
clinical_ml,5410,11.691857536665166,15.839779780952972,0.11223292412495922,0.33548983364140483
fixed_35_mg_week,5410,13.230638262829453,17.268976388391884,-0.055197970570360244,0.2966728280961183
iwpc_clinical,4302,9.996782893688717,14.573443602855878,0.27241094766198004,0.39377033937703393
iwpc_pharmacogenetic,4302,8.648974511739953,12.971894543442168,0.4235407594160122,0.4523477452347745
pharmacogenomic_ml,5410,9.483299596204837,13.550453577683186,0.35030665037417463,0.41146025878003695
training_mean,5410,12.678852344152176,17.127752722313133,-0.038009969053077075,0.31848428835489834
training_median,5410,12.33586561957622,17.25622234054228,-0.05363990767566329,0.3268022181146026
