procedure,subgroup,n,mae_mg_week,rmse_mg_week,r2,pw20,suppressed_n_lt_30,subgroup_type
clinical_ml,Female,2259,10.830413577620257,15.477083584822582,0.1431074097281818,0.35413899955732625,False,gender
clinical_ml,Male,3147,12.20958075941082,16.043248766590686,0.0905964945229526,0.32952017794725136,False,gender
clinical_ml,Unknown,4,,,,,True,gender
fixed_35_mg_week,Female,2259,13.149678113125974,17.503487989467427,-0.0959666355330997,0.28995130588756085,False,gender
fixed_35_mg_week,Male,3147,13.284439194266215,17.09778709129089,-0.032884589914842666,0.301874801398157,False,gender
fixed_35_mg_week,Unknown,4,,,,,True,gender
iwpc_clinical,Female,1747,9.819005857039231,15.047061106229165,0.2417509432485888,0.38523182598740696,False,gender
iwpc_clinical,Male,2553,10.122642752681045,14.245518440172496,0.29005363781994953,0.399529964747356,False,gender
iwpc_clinical,Unknown,2,,,,,True,gender
iwpc_pharmacogenetic,Female,1747,8.828739057589814,13.826168875379317,0.35980507994724353,0.41957641671436746,False,gender
iwpc_pharmacogenetic,Male,2553,8.531568766210722,12.358581484925146,0.4656740451874605,0.4743439091265178,False,gender
iwpc_pharmacogenetic,Unknown,2,,,,,True,gender
pharmacogenomic_ml,Female,2259,9.40806966538814,14.027091949630586,0.2961446450591899,0.4032757857459053,False,gender
pharmacogenomic_ml,Male,3147,9.694442020099926,13.323668380936997,0.3727804044444636,0.4156339370829361,False,gender
pharmacogenomic_ml,Unknown,4,,,,,True,gender
training_mean,Female,2259,12.21874110986141,17.03337152072156,-0.03788532051914406,0.33377600708278,False,gender
training_mean,Male,3147,13.006469185394913,17.19628820249707,-0.044819859016767216,0.30791229742612014,False,gender
training_mean,Unknown,4,,,,,True,gender
training_median,Female,2259,11.69079365097458,16.966354688273842,-0.02973438517489968,0.35104028331119963,False,gender
training_median,Male,3147,12.799818920990075,17.465605201444543,-0.07780269819827934,0.3098188751191611,False,gender
training_median,Unknown,4,,,,,True,gender
clinical_ml,50-69,2346,12.15499039331396,15.716059194812367,0.07289832669605711,0.33844842284739984,False,age_group
clinical_ml,70+,2169,10.087251779579208,13.203482380071614,0.01469542924376066,0.33563854310742275,False,age_group
clinical_ml,<50,856,13.893477194930222,21.12343894787316,0.054865542942706846,0.36682242990654207,False,age_group
clinical_ml,Unknown,39,17.246704431822227,18.35492502218961,-3.6345014862214615,0.02564102564102564,False,age_group
fixed_35_mg_week,50-69,2346,12.84903811988603,16.51791232935649,-0.024118865685494928,0.3175618073316283,False,age_group
fixed_35_mg_week,70+,2169,13.152863070979102,15.797761532902857,-0.4105374614157502,0.2632549562010143,False,age_group
fixed_35_mg_week,<50,856,14.315828938903095,22.146171329523195,-0.03887108782427706,0.3364485981308411,False,age_group
fixed_35_mg_week,Unknown,39,16.692307692307693,17.63410157795226,-3.277642366496787,0.02564102564102564,False,age_group
iwpc_clinical,50-69,1898,10.372282419339538,14.172586016733348,0.267474276567662,0.3861959957850369,False,age_group
iwpc_clinical,70+,1739,8.367088251525516,11.67806841880663,0.223768149775752,0.4031052328924669,False,age_group
iwpc_clinical,<50,665,13.186769183969238,21.07219396745946,0.13148529068034331,0.39097744360902253,False,age_group
iwpc_pharmacogenetic,50-69,1898,9.07805218427483,12.591820216340277,0.42176855489619536,0.44257112750263433,False,age_group
iwpc_pharmacogenetic,70+,1739,7.205777975551774,10.209534713850745,0.40671778676867043,0.4629097182288672,False,age_group
iwpc_pharmacogenetic,<50,665,11.198341961303921,19.064528637523747,0.2890978763625879,0.45263157894736844,False,age_group
pharmacogenomic_ml,50-69,2346,9.918366587881012,13.252057779018324,0.34081594364332934,0.41048593350383633,False,age_group
pharmacogenomic_ml,70+,2169,8.099319828333343,11.057706724041685,0.3089274360312233,0.4186260949746427,False,age_group
pharmacogenomic_ml,<50,856,12.489951144679138,19.42949560394389,0.20037308897933626,0.3901869158878505,False,age_group
pharmacogenomic_ml,Unknown,39,6.963946091369751,9.283913451494973,-0.1856594372786624,0.38461538461538464,False,age_group
training_mean,50-69,2346,12.683937041563873,16.72980944507992,-0.0505628560326723,0.33418584825234443,False,age_group
training_mean,70+,2169,11.674521226632324,14.441447676505163,-0.17873174303339567,0.2955278930382665,False,age_group
training_mean,<50,856,15.102592371044528,23.384085069260323,-0.15825748003088425,0.3446261682242991,False,age_group
training_mean,Unknown,39,15.031263389097274,16.038932744168743,-2.5387405996550902,0.07692307692307693,False,age_group
training_median,50-69,2346,12.57596906617759,17.09326003306028,-0.0967050718964948,0.3307757885763001,False,age_group
training_median,70+,2169,10.672402029024287,13.65845830905113,-0.05437932099826437,0.32457353619179347,False,age_group
training_median,<50,856,15.89879622862272,24.49977351374096,-0.2714183880148009,0.3341121495327103,False,age_group
training_median,Unknown,39,12.205128205128204,13.475999558569454,-1.4981572509349408,0.05128205128205128,False,age_group
clinical_ml,Asian,1571,12.235717071321098,14.816977038934821,-0.8763710627543058,0.24188415022278803,False,race_audit
clinical_ml,Black or African American,458,11.987848445744937,16.839179935264976,0.16658543922339686,0.4344978165938865,False,race_audit
clinical_ml,Unknown,478,10.406407259266887,13.360111637856518,0.05304728736343989,0.3807531380753138,False,race_audit
